,AreaName,AvgPrice
0,uttam nagar,7486
1,uttam nagar west,6762.32
2,malviya nagar,11703.7
3,laxmi nagar,11858.86
4,greater kailash 1,17797.51
5,saket,13995.16
6,defence colony,20939.86
7,safdarjung enclave,21743.02
8,vasant kunj,68576.87
9,greater kailash ii,16788.9
10,vasant vihar,48856.77
11,dwarka more,50359.58
12,panchsheel park,60449.23
13,panchsheel enclave,19538.06
14,shivalik,19444.44
15,sarita vihar,34203.51
16,chhawla,4819.7
17,chattarpur,28422.15
18,khanpur,4519.11
19,geetanjali enclave,22596.56
20,mayur vihar phase 1,18115.21
21,new friends colony,12636.03
22,burari,5894.39
23,sector 19 dwarka,17552.53
24,kalkaji,57796.75
25,sector 12 dwarka,15714.44
26,sector 22 dwarka,19363.67
27,hauz khas,21539.83
28,raja puri,4587.62
29,sarvodaya enclave,22216.05
30,sector 6 dwarka,13743.8
31,sector 23 dwarka,85241.3
32,green park,24418.68
33,paschim vihar,15976.95
34,greater kailash,42582.15
35,east of kailash,14927.57
36,pitampura,19100.53
37,new ashok nagar,5786.14
38,mohan garden,5894.72
39,sector 10 dwarka,102339.42
40,sector 11 dwarka,13176.38
41,dwarka mor,997.85
42,sector 4 dwarka,16716.11
43,sector 7 dwarka,11841.51
44,dwarka new delhi 110075,43931.02
45,navjeevan vihar,9803.92
46,gulmohar park,44385.85
47,anand niketan,34421.58
48,lalita park,6253.77
49,khanpur deoli,466.51
50,hari nagar,20296.49
51,jangpura,3490.91
52,neb sarai,4949.95
53,zone l dwarka,6307.02
54,guru angad nagar,7311.11
55,golf links,2845.53
56,punjabi bagh,13690.83
57,nawada,6609.95
58,sector 5 dwarka,13246.96
59,paryavaran complex,5125.22
60,ramesh park,6900.4
61,badarpur,3452.11
62,sector 13 dwarka,1352.46
63,vishwakarma park,6443.1
64,freedom fighter enclave,4668.3
65,jor bagh,4500
66,om vihar,5535.2
67,mangal bazar road,795.34
68,janakpuri,14605.96
69,sector 24 rohini,21117.92
70,mahavir enclave,8866.37
71,shahdara,14918.18
72,patel nagar,24126.85
73,sector 18a dwarka,15335.71
74,niti bagh,16818.18
75,khanpur krishna park,4483.39
76,mehrauli,12612.03
77,jaitpur,2352.82
78,c r park,17361.11
